Symbol,Description,Price/Earnings (TTM),Price/Earnings (MRFY),Annual Dividend Yield,Price/Earnings (FYF),Price/Book (MRQ),Price/Sales (TTM),Price/Cash Flow (MRFY),Net Profit Margin (MRFY),Debt to Equity (MRQ),Return on Equity (TTM),Return on Assets (MRFY),Count
IBAL,International Baler Corp,29.38,22.66,--,1.4,0.78,0.67,14.4,2.88%,0,2.70%,2.31%,1
IBCP,Independent Bank Corp (Michigan),12.31,13.28,3.24%,11.38,1.47,3.06,10.89,25.20%,0.3,12.40%,1.24%,1
IBIN,Ibsg International Inc,0,0,--,0,0,0,0,33.35%,0,17.53%,11.91%,1
IBKC,IBERIABANK Corp,10.78,13.59,2.45%,10.3,0.95,3.21,11.06,26.72%,0.05,9.32%,1.23%,1
IBKR,Interactive Brokers Group Inc,23.16,21.32,0.82%,23.1,2.65,7.73,17.51,47.65%,0,12.08%,1.67%,1
IBM,International Business Machines Corp,12.49,11.64,4.74%,10.68,6.74,1.57,7.94,13.52%,3.22,52.05%,7.23%,1
IBOC,International Bancshares Corp,13.41,13.3,2.57%,42.78,1.35,4.71,11.61,37.08%,0.07,10.71%,1.77%,1
IBP,Installed Building Products Inc,32.43,40.48,--,21.58,9.22,1.43,18.63,4.04%,2.4,29.25%,6.71%,1
IBTX,Independent Bank Group Inc,12.5,12.76,1.81%,12.07,1.03,4.45,16.68,34.79%,0.12,9.06%,1.42%,1
ICBK,County Bancorp Inc,11.46,12.84,0.76%,10.97,1.1,3.27,11.39,28.06%,0.27,10.32%,1.09%,1
ICE,Intercontinental Exchange Inc,25.68,27.6,1.17%,24.21,3.06,10.07,20.26,40.35%,0.38,12.27%,2.32%,1
ICFI,ICF International Inc,26.35,29.36,0.60%,22.17,2.56,1.2,19.78,4.59%,0.36,10.22%,5.26%,1
ICHR,Ichor Holdings Ltd,108.6,13.3,--,24.87,3.34,1.21,8.52,7.05%,0.82,3.00%,1.27%,1
ICLR,ICON PLC,25.21,28.58,--,24.42,6.01,3.27,23.23,12.43%,0.23,25.60%,14.36%,1
ICUI,ICU Medical Inc,54.86,136.71,--,23.86,2.89,3,37.14,2.12%,0,5.68%,4.64%,1
IDA,Idacorp Inc,25.22,24.12,2.53%,23.8,2.16,3.9,13.62,16.20%,0.75,8.77%,3.32%,1
IDT,IDT Corp,"2,243.59","1,323.25",--,7,3.36,0.13,8.08,0.02%,0,0.15%,0.01%,1
IDXX,IDEXX Laboratories Inc,58.09,65.72,--,58.96,119.5,10.28,52.26,17.13%,2.96,423.24%,25.79%,1
IEC,IEC Electronics Corp,20.98,20.95,--,11,3.1,0.63,12.99,3.02%,1.14,16.63%,4.72%,1
IEHC,IEH Corp,12.45,10.01,--,21.41,2.03,1.79,9.07,18.17%,0,18.71%,16.11%,1
IESC,IES Holdings Inc,16.62,16.67,--,25.97,2.23,0.51,12.78,3.11%,0,14.23%,7.72%,1
IEX,IDEX Corp,31.23,32.9,1.16%,29.58,6.05,5.23,27.08,16.33%,0.39,19.97%,11.61%,1
IFF,International Flavors & Fragrances Inc,33.63,30.31,2.38%,20.4,2.22,2.65,24.62,9.37%,0.66,8.40%,3.86%,1
IFNNY,Infineon Technologies AG,27.65,27.9,1.29%,24.59,3.07,3.33,14.59,11.07%,0.18,11.80%,7.33%,1
IHC,Independence Holding Co,22.61,21.26,0.96%,41.76,1.31,1.66,18.74,8.62%,0,6.05%,2.69%,1
IICN,China Intelligence Information Systems Inc,1.47,0.49,--,0.02,0.25,2.55,8.06,27.81%,0,46.30%,9.09%,1
III,Information Services Group Inc,59.96,15.99,--,9.3,1.43,0.45,8,2.65%,1.01,2.53%,0.94%,1
IIIN,Insteel Industries Inc,73.67,73.59,0.56%,56.05,1.67,0.9,21.37,1.23%,0,2.30%,1.80%,1
IIJIY,Internet Initiative Japan Inc,42.36,38.27,--,13.6,1.72,0.7,7.23,1.92%,0.17,4.14%,1.86%,1
IIPR,Innovative Industrial Properties Inc,56.41,107.25,4.98%,45.63,2.09,29.95,115.21,47.24%,0.3,5.09%,4.11%,1
IIVI,II-VI Inc,42.62,22.03,--,19.76,1.54,2.36,16.36,7.89%,1.11,3.49%,1.53%,1
ILMN,Illumina Inc,51.52,59.73,--,52,11.11,14.26,50.74,23.79%,0.25,24.50%,13.69%,1
ILPT,Industrial Logistics Properties Trust,23.95,18.77,6.06%,26.23,1.41,6.79,13.78,45.77%,1.39,5.80%,2.94%,1
IMAX,Imax Corp,39.76,54.31,--,18.31,2.28,3.16,13.15,9.10%,0.03,5.71%,4.71%,1
IMBBY,Imperial Brands PLC,18.62,18.61,10.08%,8.69,3.79,0.59,9.87,3.42%,2.37,18.87%,3.35%,1
IMKTA,Ingles Markets Inc,11.01,11.01,1.49%,10.31,1.36,0.21,4.63,1.94%,1.27,12.97%,4.42%,1
IMOS,ChipMOS Technologies Inc,9.59,22.23,3.44%,22.51,1.28,1.25,5.52,5.97%,0.49,14.01%,7.57%,1
INBK,First Internet Bancorp,11.25,10.46,1.00%,10.2,0.8,3.07,8.52,30.83%,0.24,7.45%,0.60%,1
INBP,Integrated Biopharma Inc,4.02,4.29,--,0.25,3.26,0.14,3.61,3.38%,0.98,152.46%,9.35%,1
INCY,Incyte Corp,41.02,150.6,--,27.42,6.8,7.81,100.15,5.82%,0.02,19.17%,14.12%,1
INDB,Independent Bank Corp (Massachusetts),17.19,18.46,2.17%,15.68,1.66,5.83,20.28,31.45%,0.13,11.01%,1.48%,1
INFO,IHS Markit Ltd,84.95,79.35,--,30.3,3.81,7.19,33.39,9.94%,0.61,4.67%,2.33%,1
INFY,Infosys Ltd,21.04,21.35,2.47%,19.72,5.29,3.57,17.8,18.64%,0.06,24.67%,18.59%,1
ING,ING Groep NV,9.57,8.94,6.30%,7.95,0.79,4.64,15.88,25.77%,2.54,8.58%,0.50%,1
INGN,Inogen Inc,42.2,26.56,--,55.36,3.92,3.64,21.31,14.48%,0,10.20%,8.07%,1
INGR,Ingredion Inc,15.55,14.73,2.75%,14.03,2.36,1.06,8.68,7.82%,0.77,14.70%,6.91%,1
INMD,Inmode Ltd,34.55,60.18,--,27.49,8.4,9.75,59.75,22.33%,0,41.13%,32.53%,1
INN,Summit Hotel Properties Inc,19.09,17.21,6.12%,18.97,1.05,2.26,7.05,16.06%,0.71,5.34%,3.60%,1
INS,Intelligent Systems Corp,35.98,55.61,--,34.64,10.32,11.49,50.34,31.06%,0,34.16%,29.28%,1
INT,World Fuel Services Corp,18.74,22.62,0.94%,17.17,1.51,0.07,13.25,0.32%,0.36,8.43%,2.61%,1
INTC,Intel Corp,13.81,13.35,2.14%,12.78,3.45,3.64,8.59,29.29%,0.32,26.53%,14.76%,1
INTL,INTL FCStone Inc,11.17,11.17,--,49.11,1.58,0.03,9.47,0.26%,0.62,15.21%,0.96%,1
INTT,inTest Corp,76.67,17.44,--,18.67,1.39,0.95,11.5,4.47%,0,1.83%,1.27%,1
INTU,Intuit Inc,46.01,46.67,0.77%,36.36,19.73,10.33,40.21,22.95%,0.1,49.26%,28.44%,1
INVA,Innoviva Inc,4.23,4.02,--,8.22,5.31,5.36,3.38,155.68%,1.46,481.83%,84.38%,1
INXN,InterXion Holding NV,123.47,180.66,--,123.82,6.13,9.7,37.34,5.54%,1.72,5.79%,1.78%,1
IOSP,Innospec Inc,22.02,25.75,1.02%,19.79,2.83,1.64,17.06,6.59%,0.15,13.22%,7.61%,1
IP,International Paper Co,12.62,11.19,4.66%,10.02,2.32,0.76,6.57,5.57%,1.34,19.32%,3.24%,1
IPAR,Inter Parfums Inc,37.67,41.9,1.85%,37.7,4.92,3.16,27.84,10.32%,0.02,13.25%,9.65%,1
IPG,Interpublic Group of Companies Inc,13.85,14.53,4.07%,12.26,3.62,0.88,10.65,6.58%,1.36,28.36%,4.56%,1
IPGP,IPG Photonics Corp,26.67,17.76,--,31.78,3.01,5.37,14.44,28.56%,0.02,11.91%,10.31%,1
IPHS,Innophos Holdings Inc,29.56,22.1,6.02%,15.02,1.86,0.83,8.54,3.58%,1.01,6.27%,2.52%,1
IPI,Intrepid Potash Inc,15.71,25.57,--,16.91,0.69,1.27,6.9,5.66%,0.07,4.56%,3.49%,1
IQV,IQVIA Holdings Inc,135.91,148.06,--,25.01,5.04,2.84,22.48,2.25%,1.87,3.54%,1.21%,1
IR,Ingersoll-Rand PLC,24.06,24.3,1.62%,20.49,4.34,1.91,18.06,8.74%,0.68,18.39%,7.03%,1
IRBT,iRobot Corp,15.18,15.57,--,18.37,2.22,1.18,10.93,8.25%,0,16.44%,11.83%,1
IRM,Iron Mountain Inc,22.73,23.39,8.07%,29.74,5.83,2.07,9.16,7.61%,5.49,22.49%,2.65%,1
IRMD,IRadimed Corp,38.25,48.57,--,33.05,5.58,8.07,39.19,20.71%,0,17.63%,14.80%,1
IRT,Independence Realty Trust Inc,34.34,46.7,5.12%,46.07,2.14,6.33,18.67,13.92%,1.64,5.98%,2.25%,1
ISBC,Investors Bancorp Inc,17.41,16.42,3.78%,15.16,1.09,4.79,14.57,29.02%,0,5.96%,0.68%,1
ISDR,Issuer Direct Corp,60.33,44.57,--,25,1.71,2.79,19.32,6.42%,0.01,2.78%,2.45%,1
ISNS,Image Sensing Systems Inc,3.8,15.39,--,5.49,1.64,1.96,11.07,12.79%,0,54.42%,48.40%,1
ISRG,Intuitive Surgical Inc,55.56,63.03,--,47.48,8.92,16.29,54.97,30.22%,0,18.32%,15.60%,1
ISSC,Innovative Solutions and Support Inc,51.84,51.64,--,5.64,2.63,5.43,42.02,10.53%,0,5.26%,4.86%,1
ISTR,Investar Holding Corp,14.4,16.7,1.00%,12.78,1.13,3.5,14.5,22.54%,0.11,8.51%,0.88%,1
IT,Gartner Inc,59.76,125.44,--,44.92,15.51,3.45,38.26,2.94%,2.23,26.17%,3.84%,1
ITCB,Itau Corpbanca,14.97,13.24,2.60%,8.63,0.67,1.68,8.61,13.41%,2.39,4.58%,0.54%,1
ITGR,Integer Holdings Corp,25.6,48.06,--,18.57,2.48,2.26,20.03,4.78%,0.7,10.18%,4.68%,1
ITIC,Investors Title Co,15.46,14.29,0.97%,164.9,1.59,1.91,12.54,13.63%,0,10.33%,7.59%,1
ITNM,International Monetary Systems Ltd,70.7,97.79,--,5,0.84,0.22,2.31,0.25%,0.35,1.33%,0.64%,1
ITRN,Ituran Location and Control Ltd,16.28,8.92,3.74%,15.29,3.65,2.06,8.19,23.27%,0.36,21.94%,9.78%,1
ITT,ITT Inc,20.88,21.01,0.82%,19.24,3.15,2.24,15.22,11.07%,0.01,16.10%,7.72%,1
ITUB,Itau Unibanco Holding SA,13.5,13.58,8.39%,11.94,2.61,2.48,10.99,23.51%,1.09,19.36%,1.65%,1
ITW,Illinois Tool Works Inc,23.48,23.44,2.40%,23.42,19.31,4.03,18.94,17.36%,2.58,76.43%,16.43%,1
IVAC,Intevac Inc,30.66,45.79,--,311.3,1.87,1.58,21.94,3.76%,0,7.04%,4.96%,1
IVFH,Innovative Food Holdings Inc,20.06,9.42,--,0.47,1.49,0.28,5.79,3.20%,0.05,7.88%,5.37%,1
IVZ,Invesco Ltd,15.01,8.15,7.01%,6.88,0.84,1.43,7.74,16.86%,0.57,5.48%,1.71%,1
IX,Orix Corp,7.26,7.38,4.40%,6.68,0.8,1.08,3.96,13.38%,1.37,11.37%,2.73%,1
J,Jacobs Engineering Group Inc,38.29,38.58,0.75%,16.32,2.11,0.95,23.17,2.75%,0.21,5.65%,2.91%,1
JADA,Jadeart Group Inc,0.03,0.02,--,0,0,0.01,0.02,52.03%,0,10.90%,10.50%,1
JANL,Janel Corp,25.93,6.93,--,8.9,0.48,0.11,10.72,0.37%,0.24,2.64%,1.91%,1
JAX,J Alexanders Holdings Inc,17.65,32.07,--,14.15,1.14,0.58,9.22,1.84%,0.03,6.71%,3.87%,1
JAZZ,Jazz Pharmaceuticals PLC,14.04,20.09,--,9.25,2.72,4.04,12.5,23.64%,0.51,20.02%,11.06%,1
JBGS,JBG SMITH Properties,174.62,125.04,2.30%,166.64,1.54,9.05,22.66,7.24%,0.49,0.87%,0.61%,1
JBHT,J B Hunt Transport Services Inc,27.17,26.68,0.87%,22.09,5.79,1.41,13.67,5.72%,0.59,22.33%,9.44%,1
JBL,Jabil Inc,32.2,24.29,0.76%,11.59,3.48,0.24,6.08,1.09%,1.24,10.94%,1.51%,1
JBLU,JetBlue Airways Corp,10.29,36.78,--,9.81,1.13,0.67,8.3,2.09%,0.28,11.96%,5.12%,1
JBSS,John B Sanfilippo & Son Inc,22.03,25.53,0.68%,24.27,4.26,1.12,17.66,4.50%,0.08,20.11%,11.32%,1
JBT,John Bean Technologies Corp,27.57,34.55,0.36%,22.77,6.7,1.81,21.8,5.38%,1.47,26.98%,7.50%,1
JCAP,Jernigan Capital Inc,9.58,8.82,7.54%,15.93,0.97,9.68,10.36,174.17%,0.28,10.13%,9.03%,1
JCI,Johnson Controls International PLC,31.14,32.57,2.54%,16.09,1.61,1.32,14.95,5.38%,0.34,5.38%,2.83%,1
JCOM,j2 Global Inc,33.55,38.23,1.84%,14.05,4.35,3.68,15.09,11.00%,1.06,13.55%,5.43%,1
JCTCF,Jewett-Cameron Trading Company Ltd,15.44,16.1,--,7.99,1.55,0.61,12.13,4.62%,0,10.05%,9.16%,1
JEF,Jefferies Financial Group Inc,5.76,10.83,2.77%,7.54,0.65,1.41,7.62,15.37%,1.06,11.61%,2.46%,1
JELD,JELD-WEN Holding Inc,29.43,19.57,--,20.7,3.24,0.59,9.69,3.12%,1.85,11.17%,2.66%,1
JFBC,Jeffersonville Bancorp,11.62,12.36,3.31%,18.1,1.09,3.18,11.31,27.23%,0,9.74%,1.28%,1
JHG,Janus Henderson Group PLC,11.49,9.46,5.87%,9.98,0.97,2.15,8.23,21.53%,0.07,8.51%,6.09%,1
JHX,James Hardie Industries PLC,34.98,39.42,1.77%,20.36,8.67,3.55,25.79,9.13%,1.38,25.98%,6.38%,1
JJSF,J & J Snack Foods Corp,36.95,36.94,1.26%,35.15,4.15,2.91,24.26,7.92%,0,11.79%,9.63%,1
JKHY,Jack Henry & Associates Inc,40.46,41.4,1.10%,39.8,7.58,7.01,25.88,17.51%,0,19.52%,13.04%,1
JKS,JinkoSolar Holding Co Ltd,10.88,14.84,--,7.87,0.76,0.25,5.66,1.61%,0.32,7.72%,1.87%,1
JLL,Jones Lang LaSalle Inc,15.88,14.75,0.50%,12.75,1.84,0.5,12.13,3.30%,0.37,12.24%,4.51%,1
JLMC,JLM Couture Inc,4.57,7.07,--,2.9,0.41,0.15,3.09,3.44%,0,4.52%,3.25%,1
JMEI,Jumei International Holding Ltd,3.76,1.46,--,17.43,0.19,0.33,4.06,2.74%,0,3.11%,2.32%,1
JNJ,Johnson & Johnson,27.66,25.88,2.62%,16.74,6.56,4.67,17.18,18.75%,0.46,23.04%,9.09%,1
JNPR,Juniper Networks Inc,22.75,15.03,3.15%,14.12,1.77,1.83,10.36,12.26%,0.36,8.00%,4.16%,1
JOBS,51job Inc,35.72,31.45,--,30.24,3.84,10.42,30.9,33.28%,0,13.00%,8.86%,1
JOE,St. Joe Co,68.36,38.66,--,19.31,2.24,11.39,29,27.72%,0.51,3.29%,1.87%,1
JOUT,Johnson Outdoors Inc,14.69,14.68,0.90%,15.51,2.33,1.35,11.61,9.14%,0,17.03%,12.35%,1
JPM,JPMorgan Chase & Co,13.39,15.13,2.65%,12.98,1.81,3.76,11.02,29.78%,1.12,14.21%,1.30%,1
JRSH,Jerash Holdings (US) Inc,10.58,13.39,3.31%,9.03,1.26,0.79,10.74,6.01%,0,12.65%,10.77%,1
JRVR,James River Group Holdings Ltd,41.74,19.07,2.99%,28.98,1.59,1.39,18.96,7.21%,0.26,4.02%,0.88%,1
JSAIY,J Sainsbury PLC,661.97,29.17,4.92%,11.37,0.61,0.17,3.36,0.64%,0.79,0.08%,0.09%,1
JUVF,Juniata Valley Financial Corp,17.2,17.03,4.51%,19.5,1.35,3.89,15.02,22.90%,0,8.34%,0.90%,1
JVA,Coffee Holding Co Inc,82.24,22.89,--,42.6,0.94,0.27,10.46,1.68%,0,1.15%,2.02%,1
JW/A,John Wiley & Sons Inc,18.58,16.32,2.86%,19.9,2.26,1.46,9.16,9.35%,0.67,12.48%,5.08%,1
JWN,Nordstrom Inc,12.15,12.7,3.54%,12.16,7.61,0.42,5.27,3.52%,3.15,53.75%,5.88%,1
JYNT,Joint Corp,81.9,886.92,--,75.47,58.38,5.08,122.59,0.80%,0.01,111.57%,9.31%,1
K,Kellogg Co,32.8,18.19,3.29%,17.87,8.66,1.73,14.29,8.39%,2.82,24.94%,4.14%,1
KAI,Kadant Inc,20.11,20.22,0.86%,20,2.98,1.76,14.27,9.62%,0.78,15.97%,7.32%,1
KALU,Kaiser Aluminum Corp,18.04,19.48,2.26%,15.68,2.24,1.1,12.4,5.79%,0.5,12.72%,6.75%,1
KALY,Kali Inc,0,0,--,0,0,0.03,0.18,18.91%,0,32.77%,27.93%,1
KAMN,Kaman Corp,40.12,34.14,1.22%,41.08,2.32,1.78,18.96,2.89%,0.24,6.43%,3.21%,1
KAR,KAR Auction Services Inc,19.91,8.85,3.55%,18.68,1.68,0.91,4.61,8.70%,1.14,9.03%,2.08%,1
KB,KB Financial Group Inc,6.13,6.01,4.21%,5.79,0.47,0.68,5.28,11.20%,1.93,8.05%,0.60%,1
KBAL,Kimball International Inc,18.84,19.1,1.78%,20.27,3.33,0.97,13.39,5.12%,0,18.81%,11.25%,1
KBR,KBR Inc,22.95,15.24,1.05%,17.95,2.39,0.78,11.54,6.31%,0.67,10.87%,3.88%,1
KCLI,Kansas City Life Insurance Co,6.85,6.11,3.32%,32.5,0.46,0.7,5.5,11.44%,0,6.60%,1.02%,1
KDCE,Kid Castle Educational Corp,6.98,8.64,--,0.29,2.38,25.87,246.98,6.85%,0.1,41.04%,7.98%,1
KDP,Keurig Dr Pepper Inc,35.61,52.67,2.15%,22.85,1.71,3.57,37.5,7.85%,0.59,4.91%,2.25%,1
KE,Kimball Electronics Inc,14.98,14.69,--,17.52,1.2,0.36,7.35,2.63%,0.25,8.25%,4.29%,1
KELYA,Kelly Services Inc,12.19,38.48,1.37%,10.4,0.68,0.16,19.69,0.31%,0,5.78%,2.91%,1
KEM,KEMET Corp,9.86,7.6,0.75%,12.1,2.37,1.12,5.88,15.18%,0.42,27.38%,12.44%,1
KEX,Kirby Corp,42.23,68.65,--,30.88,1.6,1.85,17.72,2.66%,0.43,3.48%,1.93%,1
KEY,KeyCorp,12.09,11.44,3.80%,11.75,1.26,3,8.81,28.94%,0.85,11.26%,1.21%,1
KEYS,Keysight Technologies Inc,32.46,30.87,--,19.53,6.26,4.4,20.36,14.43%,0.6,21.70%,9.48%,1
KFFB,Kentucky First Federal Bancorp,71.13,79.81,5.15%,7.77,0.98,6.63,58.94,8.38%,0,1.36%,0.28%,1
KFRC,Kforce Inc,17.1,17.17,1.83%,16.62,4.91,0.66,13.54,4.09%,0.35,32.01%,14.06%,1
KFY,Korn Ferry,13.1,23.34,0.95%,13.42,1.86,1.17,15.47,5.29%,0.22,14.74%,7.90%,1
KGJI,Kingold Jewelry Inc,3.7,0.33,--,1.5,0.02,0.01,0.32,2.00%,0.74,0.68%,0.15%,1
KIM,Kimco Realty Corp,25.92,19.02,5.77%,25.19,1.67,7.14,12.6,34.15%,1.08,6.12%,2.13%,1
KKPNY,Koninklijke KPN NV,52.72,48.44,4.55%,16.76,6.77,2.01,6.74,4.97%,4.6,8.80%,2.06%,1
KKR,KKR & Co Inc,15.82,14.58,1.67%,17.68,2.62,5.54,6.76,102.30%,2.5,11.71%,4.18%,1
KLAC,KLA Corp,24.17,23.48,1.97%,17.34,10.28,5.58,19.66,25.30%,1.19,53.29%,15.14%,1
KLIB,Killbuck Bancshares Inc,36.3,38.3,1.96%,179,2.38,8.62,34.67,22.94%,0,6.70%,0.70%,1
KLIC,Kulicke and Soffa Industries Inc,65.62,65.42,1.83%,21.67,2.16,3.1,35.73,4.93%,0.02,3.21%,2.35%,1
KMI,Kinder Morgan Inc,23.66,32.19,4.65%,22.34,1.45,3.57,11.92,13.57%,0.95,6.12%,2.71%,1
KMPR,Kemper Corp,11.77,21.31,1.44%,12.45,1.33,1.07,13.37,5.66%,0.2,12.54%,3.56%,1
KMT,Kennametal Inc,16.27,12.68,2.26%,19.89,2.25,1.27,8.36,10.03%,0.46,14.33%,7.28%,1
KMTUY,Komatsu Ltd,11.12,9.59,--,13.22,1.38,0.97,6.35,9.94%,0.23,12.40%,6.33%,1
KMX,Carmax Inc,17.28,18.6,--,17.27,3.95,0.74,14.21,4.64%,3.97,24.28%,4.45%,1
KN,Knowles Corp,21.87,37.39,--,18.58,1.52,2.26,18.5,6.16%,0.13,7.57%,5.69%,1
KNBWY,Kirin Holdings Co Ltd,33.83,12.91,--,21.65,2.36,1.12,8.27,10.11%,0.36,6.85%,3.60%,1
KNL,Knoll Inc,14.95,16.69,2.80%,11.72,2.97,0.86,11.3,5.49%,1.09,20.24%,6.24%,1
KNMCY,Konami Holdings Corp,18.98,17.93,--,40.8,2.19,2.45,13.29,13.03%,0.04,11.86%,8.34%,1
KNOP,Knot Offshore Partners LP,18.69,9.99,10.29%,13,1.11,2.38,4.11,29.40%,1.32,5.67%,2.42%,1
KNSL,Kinsale Capital Group Inc,45.7,66.81,0.31%,43.2,5.91,8.24,67.02,15.21%,0.03,15.41%,5.52%,1
KNX,Knight-Swift Transportation Holdings Inc,16.45,15.81,0.64%,17.27,1.13,1.26,7.47,7.87%,0.16,7.16%,4.85%,1
KO,Coca-Cola Co,31.45,35.67,2.88%,26.38,12.71,6.75,30.42,21.14%,1.66,41.17%,8.85%,1
KOF,Coca-Cola Femsa SAB de CV,18.36,22.66,3.01%,17.6,1.94,0.31,2.72,6.54%,0.49,10.93%,5.11%,1
KOP,Koppers Holdings Inc,14.47,25.57,--,9.61,6.87,0.38,8.17,1.96%,9.45,57.09%,3.22%,1
KOSS,Koss Corp,202.88,26.07,--,1.53,0.76,0.53,13.1,1.99%,0,0.38%,0.25%,1
KR,Kroger Co,14.51,7.54,2.26%,12.94,2.55,0.19,4.1,2.54%,1.37,19.00%,3.46%,1
KRA,Kraton Corp,7.18,9.3,--,7.5,0.93,0.39,3.24,4.10%,1.81,13.74%,3.74%,1
KRC,Kilroy Realty Corp,29.38,31.72,2.40%,48.68,2.01,10.62,16.12,37.19%,0.78,6.97%,3.76%,1
KRMD,Repro Med Systems Inc,532.06,237.71,--,278,19.95,10.35,180.05,5.25%,0,2.87%,2.38%,1
KRNT,Kornit Digital Ltd,186.17,109.8,--,102.09,4.72,9.48,89.58,8.73%,0,3.15%,2.71%,1
KRNY,Kearny Financial Corp,27.22,28.79,2.10%,25.86,1.04,6.9,24.1,24.96%,0.01,3.69%,0.65%,1
KRO,Kronos Worldwide Inc,13.85,6.87,5.92%,15.75,1.66,0.82,5.52,12.34%,0.51,11.82%,5.32%,1
KSS,Kohls Corp,10.63,9.55,5.78%,9.67,1.36,0.36,4.11,3.96%,0.6,12.92%,4.68%,1
KSU,Kansas City Southern,27.78,26.69,1.01%,22.8,3.22,5.54,16.42,22.42%,0.49,11.89%,6.02%,1
KT,KT Corp,10.29,9.16,4.27%,9.34,0.46,0.28,1.65,3.25%,0.4,4.59%,2.09%,1
KTOS,Kratos Defense and Security Solutions Inc,170.88,499.24,--,57.66,3.7,3.01,95.26,0.66%,0.07,2.28%,1.17%,1
KTYB,Kentucky Bancshares Inc,11.09,11.24,2.89%,23.5,1.19,2.78,10.1,25.47%,0.08,11.53%,1.18%,1
KUBTY,Kubota Corp,13.4,15.04,--,13.75,1.49,1.07,10.54,8.00%,0.39,11.35%,5.52%,1
KW,Kennedy-Wilson Holdings Inc,32.6,21.55,3.96%,67.27,2.56,5.22,7.58,27.42%,4.16,7.77%,2.73%,1
KWHIY,Kawasaki Heavy Industries Ltd,14.41,14.34,--,8.61,0.86,0.24,4.48,1.87%,0.73,5.97%,1.54%,1
KWR,Quaker Chemical Corp,71.87,32.73,0.93%,28.26,2.44,3.07,34.18,7.60%,0.69,3.92%,1.70%,1
KYOCY,Kyocera Corp,32.69,26.76,--,21.37,1.16,1.78,16.2,7.07%,0.01,3.49%,2.92%,1
KYZN,Kyzen Corp,62.66,69.72,--,1.75,4.19,1.35,34.2,2.00%,0.02,7.02%,5.31%,1
L,Loews Corp,28.94,26.19,0.48%,17.65,0.8,1.08,9.57,5.01%,0.59,2.87%,0.56%,1
LAACZ,Laa Co Ltd A California LP,29.59,31.16,4.32%,"2,270.00",2.42,6.47,20.34,21.95%,0.17,8.29%,6.40%,1
LAD,Lithia Motors Inc,13.18,13.65,0.86%,11.87,2.38,0.26,9.95,2.11%,0.95,19.31%,4.54%,1
LADR,Ladder Capital Corp,18.15,10,7.38%,11.41,1.51,4.58,8.37,37.02%,3.33,7.54%,1.82%,1
LAKE,Lakeland Industries Inc,572.81,59.92,--,27.09,1.02,0.82,35.34,1.47%,0,0.18%,0.15%,1
LAMR,Lamar Advertising Co,24.65,29.18,4.28%,23.72,7.72,5.24,17.01,18.75%,2.43,32.20%,7.26%,1
LANC,Lancaster Colony Corp,28.79,29.11,1.76%,29.32,5.83,3.29,23.94,11.51%,0,21.36%,16.89%,1
LANZ,Lancer Orthodontics Inc,4.92,17.23,--,0.2,0.16,0.09,5.22,0.48%,0,3.35%,2.78%,1
LARK,Landmark Bancorp Inc,11.51,10.84,3.07%,24.85,1.08,2.56,9.04,24.24%,0.36,10.31%,1.01%,1
LASLY,Lentuo International Inc,0,0,--,0,0,0,0,0.84%,0.03,3.30%,1.38%,1
LASR,nLIGHT Inc,307.65,49.52,--,658.06,3.48,4.28,37.33,8.76%,0,1.39%,1.16%,1
LATF,Latteno Food Corp,0.01,1.67,--,0,0.1,0.07,4.43,3.42%,0.28,79.83%,48.26%,1
LAWS,Lawson Products Inc,41,83.88,--,43.57,4.46,1.37,38.54,1.78%,0,12.16%,6.34%,1
LAZ,Lazard Ltd,16.17,10.64,4.35%,13.46,8.35,1.85,8.56,18.46%,2.74,38.43%,6.32%,1
LBAI,Lakeland Bancorp Inc,12.62,12.87,2.96%,11.98,1.2,3.97,12.29,32.37%,0.17,10.13%,1.11%,1
LBC,Luther Burbank Corp,14.05,14.75,1.97%,13.25,1.08,4.96,13.69,34.87%,0.26,7.99%,0.68%,1
LBRDA,Liberty Broadband Corp,583.22,332.48,--,157.65,2.18,"1,607.98",320.44,314.31%,0.05,0.38%,0.33%,1
LBRT,Liberty Oilfield Services Inc,17.51,10,1.87%,14.33,2.28,0.58,3.22,11.56%,0.26,14.83%,10.62%,1
LCII,LCI Industries,19.08,17.97,2.47%,18.28,3.39,1.12,12.16,6.02%,0.34,18.31%,10.46%,1
LCNB,LCNB Corp,12.55,14.76,3.93%,12.72,1.05,3.59,12.52,25.07%,0,8.77%,1.18%,1
LDL,Lydall Inc,53.54,10.7,--,20.85,1.01,0.45,5.61,4.52%,0.72,1.88%,0.79%,1
LDOS,Leidos Holdings Inc,22.22,26.79,1.35%,20.23,4.39,1.33,17.13,5.67%,0.91,19.97%,7.35%,1
LE,Lands End Inc,52.15,62.33,--,25.85,1.53,0.35,13.79,0.54%,1.18,3.20%,0.86%,1
LEA,Lear Corp,10.16,7.89,2.20%,10.11,1.97,0.41,4.84,5.77%,0.55,19.86%,7.38%,1
LEAT,Leatt Corp,10.85,12.71,--,2.75,1.4,0.56,7.83,4.91%,0,14.32%,8.01%,1
LECO,Lincoln Electric Holdings Inc,19.63,22.07,2.03%,20.56,7.26,1.96,16.42,9.49%,0.88,35.84%,13.04%,1
LEG,Leggett & Platt Inc,22.41,21.99,3.24%,19.33,5.18,1.4,15.17,7.13%,1.75,24.64%,7.10%,1
